,words,scores,casa_produttrice,category,decade
62,completely,1.081902139883416,1940,disney,disney
63,heaven,1.077376528411344,1940,disney,disney
64,sir,1.0680954158613214,1940,disney,disney
65,dogs,1.0654549927834118,1940,disney,disney
66,kid,1.0459327058274546,1940,disney,disney
67,father,1.0452841058690732,1940,disney,disney
68,mountain,1.0442156163698169,1940,disney,disney
69,song,1.0400207626310998,1940,disney,disney
70,huh,1.0390611784434782,1940,disney,disney
71,quite,1.0321945084082715,1940,disney,disney
72,queen,0.9808048150155844,1940,disney,disney
73,em,0.9683203203391174,1940,disney,disney
74,ah,0.9644576173275944,1940,disney,disney
75,high,0.9566078307934756,1940,disney,disney
76,um,0.9548420785894828,1940,disney,disney
77,west,0.9431173648585636,1940,disney,disney
78,magic,0.931074262298352,1940,disney,disney
79,aah,0.9304803500954236,1940,disney,disney
80,guy,0.9245933714920348,1940,disney,disney
81,ha,0.9140104886903984,1940,disney,disney
82,kids,0.9083214489917802,1940,disney,disney
83,funny,0.8594776990494091,1940,disney,disney
84,hi,0.8522436849190048,1940,disney,disney
85,brave,0.8485962107024659,1940,disney,disney
86,sun,0.8281093489122673,1940,disney,disney
87,baby,0.817964959500169,1940,disney,disney
88,dr,0.81141694310533,1940,disney,disney
89,honey,0.8041575851568803,1940,disney,disney
90,aw,0.8040560177764698,1940,disney,disney
91,school,0.8012163589213881,1940,disney,disney
92,mrs,0.7843136344837338,1940,disney,disney
93,train,0.7610216895648428,1940,disney,disney
94,ow,0.7579312649293387,1940,disney,disney
95,cake,0.7528111020289248,1940,disney,disney
96,money,0.7511557310928311,1940,disney,disney
97,daughter,0.7511231228868144,1940,disney,disney
0,awful,5.94330462245646,1940,disney,disney.txt
1,cute,4.684458517864528,1940,disney,disney.txt
2,proud,3.3997031141040672,1940,disney,disney.txt
3,rope,3.3045559508256046,1940,disney,disney.txt
4,mighty,3.280002385235328,1940,disney,disney.txt
5,feet,3.1372524218085736,1940,disney,disney.txt
6,sweet,2.8632897219986364,1940,disney,disney.txt
7,mama,2.815539331534281,1940,disney,disney.txt
8,water,2.7593971673104907,1940,disney,disney.txt
9,steady,2.5617705151174133,1940,disney,disney.txt
10,ought,2.518805756303551,1940,disney,disney.txt
11,quiet,2.4369236839654334,1940,disney,disney.txt
12,hat,2.4096342154007018,1940,disney,disney.txt
13,ears,2.3212844019088545,1940,disney,disney.txt
14,climb,2.312954285110575,1940,disney,disney.txt
15,perfectly,2.251232680882516,1940,disney,disney.txt
16,stuff,2.2492613576274296,1940,disney,disney.txt
17,careful,2.207405315497221,1940,disney,disney.txt
18,fun,2.157858901907837,1940,disney,disney.txt
19,clothes,2.0982817681930146,1940,disney,disney.txt
20,dad,2.097782796578953,1940,disney,disney.txt
21,laugh,2.071189055811053,1940,disney,disney.txt
22,sir,2.021347422135603,1940,disney,disney.txt
23,sing,1.8737223106288177,1940,disney,disney.txt
24,green,1.7944494466418572,1940,disney,disney.txt
25,hurry,1.7881664453297692,1940,disney,disney.txt
26,papa,1.7695930713287096,1940,disney,disney.txt
27,ahead,1.7485519038118935,1940,disney,disney.txt
28,voice,1.6790760998242509,1940,disney,disney.txt
29,honest,1.678436018090915,1940,disney,disney.txt
30,mom,1.67211193870713,1940,disney,disney.txt
31,ma,1.6628715849668456,1940,disney,disney.txt
32,guys,1.6463832616044909,1940,disney,disney.txt
33,whoa,1.6230591909200691,1940,disney,disney.txt
34,afraid,1.5786183004837633,1940,disney,disney.txt
35,ya,1.50731083479648,1940,disney,disney.txt
36,ohh,1.4936373047406386,1940,disney,disney.txt
37,round,1.4928045577620273,1940,disney,disney.txt
38,captain,1.4927518141591536,1940,disney,disney.txt
39,learned,1.4870167211021883,1940,disney,disney.txt
40,mr,1.4812744650436185,1940,disney,disney.txt
41,born,1.4685220726072896,1940,disney,disney.txt
42,doin,1.4499994501208269,1940,disney,disney.txt
43,open,1.441916945055894,1940,disney,disney.txt
44,face,1.3938884097994082,1940,disney,disney.txt
45,beautiful,1.324120740697584,1940,disney,disney.txt
46,king,1.2962291391142755,1940,disney,disney.txt
47,forest,1.2634627116620576,1940,disney,disney.txt
48,race,1.2610228924475535,1940,disney,disney.txt
49,sea,1.2587516354089092,1940,disney,disney.txt
50,master,1.2322875045789847,1940,disney,disney.txt
51,friend,1.2247549072514854,1940,disney,disney.txt
52,gotta,1.2174002206498815,1940,disney,disney.txt
53,road,1.2012292229724193,1940,disney,disney.txt
54,faster,1.192263591012367,1940,disney,disney.txt
55,gold,1.1798095181404844,1940,disney,disney.txt
56,head,1.149888589422715,1940,disney,disney.txt
57,beat,1.133825232316091,1940,disney,disney.txt
58,car,1.1281430900964493,1940,disney,disney.txt
59,today,1.106022352075471,1940,disney,disney.txt
60,wanna,1.1021431876315018,1940,disney,disney.txt
61,ooh,1.0953928347194597,1940,disney,disney.txt
62,dog,1.0924954947551366,1940,disney,disney.txt
63,father,1.0854113114674442,1940,disney,disney.txt
64,money,1.0833991352835717,1940,disney,disney.txt
65,snow,1.070515676968424,1940,disney,disney.txt
66,town,1.0682641124915273,1940,disney,disney.txt
67,hmm,1.0656977884359515,1940,disney,disney.txt
68,ship,1.065173291212867,1940,disney,disney.txt
69,god,1.0608670603709136,1940,disney,disney.txt
70,gentlemen,1.0606116351769683,1940,disney,disney.txt
71,far,1.0596549489792746,1940,disney,disney.txt
72,em,1.0534123788255445,1940,disney,disney.txt
73,lord,1.030253902680768,1940,disney,disney.txt
74,kid,1.0292290913495021,1940,disney,disney.txt
75,huh,1.0223575639655256,1940,disney,disney.txt
76,wake,1.0075657492367036,1940,disney,disney.txt
77,moon,0.9849261104569736,1940,disney,disney.txt
78,queen,0.9641012005376316,1940,disney,disney.txt
79,goodness,0.9610934450258746,1940,disney,disney.txt
80,comin,0.9532784178907256,1940,disney,disney.txt
81,trees,0.9396367792848812,1940,disney,disney.txt
82,hide,0.9270822612106296,1940,disney,disney.txt
83,mrs,0.9217804329948588,1940,disney,disney.txt
84,simple,0.91869133506971,1940,disney,disney.txt
85,aah,0.9137767356174707,1940,disney,disney.txt
86,matter,0.90982456895043,1940,disney,disney.txt
87,guy,0.907889757014082,1940,disney,disney.txt
88,birds,0.902986304586637,1940,disney,disney.txt
0,brother,3.909592394730245,1950,disney,disney
1,fool,3.72969629173164,1950,disney,disney
2,hardly,3.6908345287662456,1950,disney,disney
3,captain,3.403749124040246,1950,disney,disney
4,certain,3.212801324230293,1950,disney,disney
5,boat,2.994013343688805,1950,disney,disney
6,devil,2.918136617261481,1950,disney,disney
7,east,2.9042254713043336,1950,disney,disney
8,sight,2.903742127726351,1950,disney,disney
9,ooh,2.5688955283610486,1950,disney,disney
10,business,2.4665374698215743,1950,disney,disney
11,fall,2.372661618706216,1950,disney,disney
12,ship,2.3501639720034,1950,disney,disney
13,house,2.229993345222285,1950,disney,disney
14,war,2.2042192060479513,1950,disney,disney
15,brought,2.1590603498580374,1950,disney,disney
16,wonder,2.1069053201827224,1950,disney,disney
17,uh,2.0901862933590407,1950,disney,disney
18,fellow,2.020164929495518,1950,disney,disney
19,dad,1.9958296551508656,1950,disney,disney
20,dog,1.9811050212581471,1950,disney,disney
21,suit,1.899921211021821,1950,disney,disney
22,short,1.8653144836832949,1950,disney,disney
23,play,1.8592384108911533,1950,disney,disney
24,gentlemen,1.8530897367715988,1950,disney,disney
25,sir,1.8495683326236547,1950,disney,disney
26,master,1.8465138267785213,1950,disney,disney
27,hands,1.7992598833124729,1950,disney,disney
28,trouble,1.7817757065619717,1950,disney,disney
29,north,1.7739653546227685,1950,disney,disney
30,west,1.768375108896863,1950,disney,disney
31,gold,1.7616166187869682,1950,disney,disney
32,tonight,1.741410541000799,1950,disney,disney
33,blood,1.722387067199321,1950,disney,disney
34,la,1.7150750673034252,1950,disney,disney
35,money,1.7098327828975777,1950,disney,disney
36,heaven,1.6991766443774488,1950,disney,disney
37,waste,1.6006742149770243,1950,disney,disney
38,hurry,1.5808788085582868,1950,disney,disney
39,20,1.5786393445894145,1950,disney,disney
40,mom,1.5701587972790425,1950,disney,disney
41,aboard,1.5557613546759923,1950,disney,disney
42,doubt,1.5475049887495445,1950,disney,disney
43,guys,1.5444301201764037,1950,disney,disney
44,whoa,1.5211060494919817,1950,disney,disney
45,country,1.5160484048266432,1950,disney,disney
46,dark,1.4807881469020032,1950,disney,disney
47,practice,1.4544573614757677,1950,disney,disney
48,horse,1.4486453300782356,1950,disney,disney
49,word,1.4382839472536395,1950,disney,disney
50,wife,1.43700874752924,1950,disney,disney
51,english,1.4357595258179423,1950,disney,disney
52,king,1.396676085094657,1950,disney,disney
53,stand,1.3863791428153933,1950,disney,disney
54,mr,1.379321323615531,1950,disney,disney
55,eh,1.3464849112721295,1950,disney,disney
56,body,1.3298115872008225,1950,disney,disney
57,goes,1.3202733859434312,1950,disney,disney
58,hmm,1.314352736344692,1950,disney,disney
59,send,1.2932940223824392,1950,disney,disney
60,sister,1.2917908812607428,1950,disney,disney
61,true,1.254350701631903,1950,disney,disney
62,bear,1.2445230571460395,1950,disney,disney
63,foot,1.2362314603803068,1950,disney,disney
64,half,1.2212503171669191,1950,disney,disney
65,lies,1.1934307571825309,1950,disney,disney
66,queen,1.1735216104232156,1950,disney,disney
67,days,1.1665181264099218,1950,disney,disney
68,boys,1.1512930264258159,1950,disney,disney
69,uncle,1.1472375722420696,1950,disney,disney
70,ah,1.1467053092304649,1950,disney,disney
71,gift,1.143261374000655,1950,disney,disney
72,kept,1.1431924533646545,1950,disney,disney
73,gotta,1.115367427201166,1950,disney,disney
74,duty,1.1103753370995584,1950,disney,disney
75,sea,1.1095819196664845,1950,disney,disney
76,known,1.109540688844982,1950,disney,disney
77,start,1.0944295001809756,1950,disney,disney
78,ho,1.0728235953406724,1950,disney,disney
79,men,1.0544713882122625,1950,disney,disney
80,small,1.054149393119465,1950,disney,disney
81,feet,1.052073284550632,1950,disney,disney
82,ya,1.050146212788154,1950,disney,disney
83,car,1.026189948668362,1950,disney,disney
84,wanna,1.0001900462034143,1950,disney,disney
85,harder,0.999020480463214,1950,disney,disney
86,rock,0.9982203532575391,1950,disney,disney
87,wish,0.9835704528090616,1950,disney,disney
88,head,0.9781094999107672,1950,disney,disney
89,wear,0.9776689205687632,1950,disney,disney
90,aah,0.9659681332561476,1950,disney,disney
91,god,0.9634462216166224,1950,disney,disney
92,ain,0.95736981265161,1950,disney,disney
93,comes,0.9520911322931512,1950,disney,disney
94,speak,0.9443223681769192,1950,disney,disney
95,late,0.9398155140224574,1950,disney,disney
96,kid,0.9272759499214144,1950,disney,disney
0,wings,4.947038205691135,1950,disney,disney.txt
