buddy	8.956048766575199
guys	6.745888854527967
ugly	5.497155092390011
mommy	5.477348003678442
kids	5.196795352626085
daddy	4.759560868187302
bird	4.353530422500539
dad	4.261287049304785
wow	4.207210509724559
ice	4.107653499966969
crazy	4.1072640318737825
perfect	4.095220280002997
fly	4.043159704658866
animal	4.0119937913527925
actually	3.999609620723087
save	3.995743562167989
guy	3.791550221159619
protect	3.651099124718245
fat	3.594460722275793
mom	3.5580880344691206
fun	3.5457959583146206
flying	3.497206185592801
feels	3.4278374505482025
attack	3.423149514868227
wild	3.4162221502795984
gotta	3.27393293887732
alive	3.150549502959579
dude	3.138451396598561
starting	3.0697823996866185
mr	3.034012479117652
sir	3.000727181625015
captain	2.85095568855381
dog	2.6561263403498825
wanna	2.6487088363101186
sounds	2.546399035833353
king	2.5407128191138493
tree	2.5230140287530443
talking	2.4832904838019694
dance	2.4413119227941804
moon	2.321366387235091
hungry	2.285926355680675
kidding	2.2008206097083347
awesome	2.188423632694872
strong	2.184243193504505
uncle	2.135640807560389
car	2.1217382404284013
nature	2.0608667120330564
father	2.049336249974637
final	2.0481484516350594
weird	2.022915544984193
girl	1.9959922151584368
inside	1.9822337925887663
poor	1.9560947380826903
hurt	1.9216555639710928
forgot	1.8507199909280123
destroy	1.8449989062084344
moving	1.814880294072836
feet	1.8125374916886496
message	1.7776098190245126
low	1.7753649291952407
miss	1.7721116201066556
baby	1.7331921433413089
totally	1.7140626622345472
butt	1.7070262515676944
eye	1.6978088252392454
sleep	1.6758610126985196
family	1.668781462766228
happen	1.6346219545858658
straight	1.6099558058063017
excuse	1.589282504528562
weather	1.5714367037097159
lives	1.5524634027451727
die	1.5428489141861106
lady	1.5388501347927617
push	1.5181902167350254
touch	1.5102405075258791
cares	1.491137840284008
dead	1.4626261136099643
open	1.4465373592843749
happy	1.4390238075275956
arms	1.4371981953755508
fall	1.4240443627958508
probably	1.4184987704376002
close	1.404373885846385
face	1.399594215321596
city	1.39684340826052
seconds	1.392424420316143
shut	1.3917422421119492
used	1.3901497768809068
biggest	1.3829741686858057
fast	1.3716216342820269
travel	1.3665699619232292
minute	1.3539088899646805
animals	1.3527770772879506
hole	1.3479973923840802
covered	1.3454253278549553
survive	1.334284253729342
point	1.3097620903367615
pop	1.2847296577777871
everybody	1.2845425435050948
game	1.2794580986743092
honey	1.2780472475261109
loves	1.2703668005871531
breathe	1.2686558913623167
amazing	1.2550381568409128
hit	1.2517842867793865
danger	1.2376769333364348
lose	1.2108775387381705
eyes	1.2029947402258416
funny	1.2005639634431016
friend	1.200373192487458
second	1.19810118036278
later	1.1965526303105902
possibly	1.1914209936404052
friends	1.1810537658803535
saying	1.1786806653673918
cool	1.1543141556603618
somebody	1.1505302791148413
rule	1.149438890157113
head	1.128492853211569
headed	1.1140417890100602
ain	1.1064564340288645
eat	1.0958139711913797
built	1.0769322384875286
end	1.07642179476729
dancing	1.0544191111438657
greatest	1.0466280933729497
ago	1.0428672841112383
pretty	1.0411145820506928
trying	1.0411000047007832
wants	1.0407491016304644
pressure	1.0370237114039844
mister	1.0275642855981746
team	1.0257644641379826
extra	1.0161298219657011
ship	1.014556985530056
god	1.0102507546881028
chicken	1.009099839511964
rules	0.9999934443937678
lost	0.9917503533344408
live	0.9911674469568941
morning	0.9680832781554428
years	0.9627315956197744
master	0.95810631375121
la	0.9476684855624864
break	0.940165782626777
supposed	0.9237752951511936
means	0.9237654686545196
queen	0.920672270731232
