5532	falling	4.3347766480149224e-05
5533	dad	4.016442019343833e-05
5534	steal	3.5846882053122025e-05
5535	decided	3.065523103282913e-05
5536	body	3.0258553578605486e-05
5537	black	3.0194578514315956e-05
5538	quickly	2.9700723770418707e-05
5539	strange	2.723892063876152e-05
5540	papa	2.7098487061063533e-05
5541	kid	2.540741231338018e-05
5542	hasn	2.4955059889145916e-05
5543	wow	2.278570421983849e-05
5544	absolutely	2.277732848581423e-05
5545	tired	2.2329051333694788e-05
5546	scared	2.188148124842668e-05
5547	father	2.167515217513336e-05
5549	dark	2.0794467378917463e-05
5550	mom	2.0160775528383083e-05
5551	caught	1.9991406395438917e-05
5552	die	1.9487075116711518e-05
5553	lady	1.940434011434614e-05
5554	hi	1.9199510391956286e-05
5555	cold	1.9063774848694085e-05
5556	bye	1.905136071349168e-05
5557	eggs	1.902629978921366e-05
5558	magic	1.820531968710024e-05
5559	car	1.8060798688518757e-05
5560	mama	1.79304264875229e-05
5561	happening	1.7690419109505183e-05
5562	rescue	1.7179031000761114e-05
5563	air	1.6938997581397255e-05
5564	rope	1.639750272574895e-05
5565	hate	1.6371333590521834e-05
5566	captain	1.6243278762378923e-05
5567	huh	1.6161054706268788e-05
5568	family	1.6124590211381443e-05
5569	officer	1.611940453712642e-05
5570	anymore	1.6088813889627198e-05
5571	guys	1.5963112135416336e-05
5572	special	1.588404049744606e-05
5573	telling	1.5868789004764082e-05
5574	house	1.5773420695350236e-05
5575	mother	1.5689839020191897e-05
5576	nature	1.553479704045878e-05
5577	whoa	1.5327258225963033e-05
5578	sir	1.5265617438638927e-05
5579	mister	1.5213616019997311e-05
5580	wings	1.4947355213215627e-05
5581	bird	1.4785401004412349e-05
5582	crazy	1.4610930685069676e-05
5583	room	1.4606329260929537e-05
5584	different	1.4214269769018759e-05
5585	mr	1.3909410967198525e-05
5586	giant	1.3909158694625492e-05
5587	city	1.3740694588990542e-05
5588	building	1.3568415789954537e-05
5589	scary	1.3455810639245445e-05
5590	finally	1.3451357093283712e-05
5591	ship	1.3427619313262422e-05
5592	king	1.3324629109062523e-05
5593	smells	1.325212141874646e-05
5594	girl	1.322655741363446e-05
5595	door	1.3093681900704896e-05
5596	peace	1.300546978699357e-05
5597	travel	1.2998976060868661e-05
5598	phone	1.2827562273313964e-05
5599	asleep	1.2663500469293858e-05
5600	tree	1.2437077894565948e-05
5601	glad	1.2239813678199738e-05
5602	lift	1.2173200757563156e-05
5603	wonder	1.2118400152605502e-05
5604	breathe	1.2031733793234514e-05
5605	byebye	1.1987150923661185e-05
5606	flying	1.1933643255569088e-05
5607	hit	1.193053354937738e-05
5608	young	1.158587542696194e-05
5609	lose	1.1514831399210613e-05
5610	trouble	1.147987253585263e-05
5611	view	1.1479125496386942e-05
5612	careful	1.1333114967254546e-05
5613	gotta	1.1270336390088816e-05
5614	luck	1.120014036435636e-05
5615	saying	1.1192862665502823e-05
5616	clear	1.118086755958695e-05
5617	having	1.1157277109731163e-05
5618	hang	1.111742485986975e-05
5619	tonight	1.0950678469978097e-05
5620	somebody	1.0935774356471802e-05
5621	hurry	1.0857623467098001e-05
5624	dog	1.0207692327358307e-05
5625	bit	1.016536725531596e-05
5626	wanna	1.0118098193077359e-05
5627	ooh	1.0050594663956937e-05
5628	inside	1.004299198423111e-05
5629	visit	9.850278409415312e-06
6018	grown	6.500448910087607e-05
6019	lots	5.2137458544454806e-05
6020	idiot	4.4609033938471085e-05
6021	summer	3.610485602248633e-05
6022	paper	3.3022989134042166e-05
6023	visit	3.0897914741503057e-05
6024	suddenly	3.055136719831056e-05
6025	stupid	2.5863060070403034e-05
6026	hate	2.5354024195008103e-05
6027	trees	2.44049079057915e-05
6028	girls	2.435007906754995e-05
6029	sun	2.392422394697653e-05
6030	dad	2.3718015771466492e-05
6031	pay	2.324946725149325e-05
6032	silly	2.2623183591659406e-05
6033	bet	2.2568058219652408e-05
6034	walk	2.204379995065025e-05
6035	train	2.1925438072016316e-05
6036	uh	2.15610069373268e-05
6037	mother	2.1379431630396128e-05
6038	daughter	2.049287460316281e-05
6039	red	1.958712348385336e-05
6040	strange	1.9489334300756307e-05
6041	calling	1.878539271176888e-05
6042	spirit	1.8780025108130147e-05
6043	later	1.8528966484366164e-05
6044	pass	1.78095044984018e-05
6045	girl	1.7617926134403177e-05
6046	mom	1.688814353189561e-05
6047	guys	1.6103445205500427e-05
6048	whoa	1.5870204498656208e-05
6049	money	1.5646042744812893e-05
6050	mr	1.5183373464753197e-05
6051	angry	1.4649670621563482e-05
6052	fighting	1.463938606010433e-05
6053	captain	1.456713073104705e-05
6054	school	1.4559838517086421e-05
6055	wow	1.4357116633076657e-05
6056	father	1.3738345224915855e-05
6057	shall	1.32838670186164e-05
6058	morning	1.324715702345708e-05
6059	talking	1.3177915282033949e-05
6060	ship	1.2894855651584751e-05
6061	years	1.2762540690549615e-05
6062	king	1.2601903980598276e-05
6063	went	1.2209764300277369e-05
6064	tomorrow	1.2080470369900655e-05
6065	gotta	1.181281827574805e-05
6066	cover	1.1719555423659342e-05
6067	waste	1.1663723074828054e-05
6068	days	1.1360188911885344e-05
6069	kids	1.1201541606466388e-05
6070	store	1.108004337905026e-05
6071	car	1.0921043490420008e-05
6072	ya	1.0854922354745683e-05
6073	start	1.0793658187020163e-05
6074	wanna	1.0661044465770533e-05
6075	ooh	1.0593540936650113e-05
6076	boys	1.0585690956119492e-05
6077	dog	1.0564567537006883e-05
6078	poor	1.046218854230356e-05
6079	sister	1.0441111425282069e-05
6080	half	1.0431328290993374e-05
