7776	awesome	8.949864530302798e-05
7777	guys	4.11318630502039e-05
7778	mom	4.047223490738848e-05
7780	seriously	3.7354264854077325e-05
7781	honey	3.7059900691957655e-05
7782	bye	3.6106437005947586e-05
7783	hi	3.1278667925692966e-05
7784	sleep	3.0793284207550135e-05
7785	dad	3.0231636338650114e-05
7787	machine	2.892506751408904e-05
7789	kidding	2.6323817848627087e-05
7790	wanna	2.51524573221402e-05
7791	cool	2.507200348740159e-05
7792	heck	2.4644852172522048e-05
7794	second	2.37021930652136e-05
7795	dreams	2.3617651792956624e-05
7797	wearing	2.2813559496277958e-05
7799	wow	2.1429139277041317e-05
7800	sir	2.1327184671085066e-05
7801	thinking	2.123912830828153e-05
7802	everybody	2.1058801596135752e-05
7803	tiny	2.102767500140424e-05
7804	baby	1.9801266257295826e-05
7805	dude	1.9084150819554032e-05
7806	steal	1.897491093330566e-05
7807	number	1.790466037935425e-05
7809	ship	1.760379704694567e-05
7810	excuse	1.759015296604515e-05
7811	kids	1.724426905621569e-05
7812	mr	1.7232010968955816e-05
7813	gotta	1.658807019007023e-05
7814	worst	1.654264041158927e-05
7815	boss	1.6048059039078432e-05
7816	happy	1.5996333925752508e-05
7817	game	1.580323636893888e-05
7818	car	1.5528618660068095e-05
7819	captain	1.539972560674645e-05
7820	mommy	1.5270249792149274e-05
7821	kid	1.5246737629897465e-05
7823	dear	1.43442991823989e-05
7825	giant	1.3623067515558675e-05
7826	totally	1.2718826408827052e-05
7827	head	1.2612596343956194e-05
7828	king	1.2552397299318288e-05
7829	meant	1.2349828604985329e-05
7830	end	1.2340267807835028e-05
7831	mission	1.2264308237559928e-05
7832	crazy	1.177281269210691e-05
7834	finally	1.172722761131341e-05
7835	guy	1.1421608869451324e-05
7836	loud	1.1379905923217807e-05
7837	dr	1.132168392660323e-05
7838	actually	1.1252710751814772e-05
7839	music	1.1060781621882744e-05
7840	dog	1.0886752130833308e-05
7842	red	1.0622892345110595e-05
7843	queen	1.0294119620233645e-05
7844	mama	1.0207931281507467e-05
7845	god	1.0198776511884669e-05
7846	father	9.875910822086736e-06
7848	stuff	9.445884440180934e-06
7849	suit	9.400210778096728e-06
7850	buddy	9.325405706086464e-06
7851	ain	9.272630862170682e-06
7852	fun	9.156467282356179e-06
7854	girl	8.887349145958625e-06
7855	cake	8.856477500920741e-06
7856	aah	8.727873264350239e-06
7857	loves	8.496831631719023e-06
7858	meeting	8.43572546329248e-06
7859	question	8.409702442861465e-06
7860	uncle	8.227987354244416e-06
7861	blow	8.143548803631049e-06
7862	crime	8.091776626936878e-06
7863	hang	7.92649797701742e-06
7864	bear	7.921940235743198e-06
7865	amazing	7.913744871414315e-06
7866	gosh	7.835551926602498e-06
7867	school	7.806924627716295e-06
7868	plan	7.711875784532878e-06
7870	heart	7.671168253075111e-06
7871	city	7.6274513701466974e-06
7872	whoo	7.581065068869574e-06
7873	magic	7.478053046364646e-06
