0	queen	2.8389506158213184e-05
1	papa	2.579270286341e-05
2	uh	2.5741863809354147e-05
3	doin	2.243399958968032e-05
4	goin	2.242354316328067e-05
5	cat	2.0828055057266473e-05
6	magic	2.0653187949611363e-05
7	forest	2.0651045462020937e-05
8	mama	1.9952670636157357e-05
9	dad	1.9913075717440968e-05
10	monster	1.9116823168109876e-05
11	ooh	1.87690140802362e-05
12	snow	1.8639161858156288e-05
13	nothin	1.827446583788541e-05
14	fish	1.7951526541368406e-05
15	dig	1.7785307519575024e-05
16	birds	1.7634526839843135e-05
17	mighty	1.7538291005087124e-05
18	ya	1.7506316181948053e-05
19	dance	1.7331355313618894e-05
20	ain	1.6912324111179955e-05
21	hmm	1.6894795940959383e-05
22	wanna	1.663723998490638e-05
23	tree	1.6580514300122072e-05
24	outta	1.5963547465771382e-05
25	gee	1.567061467444555e-05
26	mom	1.5656367138722737e-05
27	guys	1.539908036769635e-05
28	ring	1.533611515969076e-05
29	whoa	1.5165839660852127e-05
30	sing	1.5037346087924553e-05
31	cup	1.500988053522381e-05
32	space	1.4982287366360295e-05
33	gotta	1.4933624538483272e-05
34	shh	1.4862765897692909e-05
35	tie	1.4719061471830257e-05
36	song	1.4679446184344769e-05
37	dancing	1.45901834693295e-05
38	steady	1.4529001235754162e-05
39	children	1.450609367870146e-05
40	stole	1.4190659971902067e-05
41	ma	1.4056540296627597e-05
42	flowers	1.4022088890293649e-05
43	women	1.3945973958861596e-05
44	em	1.3877536323379424e-05
45	captain	1.3862765893242973e-05
46	dumb	1.37934630822072e-05
47	chase	1.3756646407495283e-05
48	mr	1.3747992402087624e-05
49	mark	1.3615065246530034e-05
50	men	1.3606305554159768e-05
51	upstairs	1.3598409573041843e-05
52	beauty	1.3557456126558325e-05
53	steal	1.3348738712515342e-05
54	singing	1.332556145589821e-05
55	eh	1.3269518168991948e-05
56	kiss	1.3155889307729438e-05
57	blood	1.3080472339050382e-05
58	rich	1.3044929813976984e-05
59	child	1.2904043019907529e-05
60	aw	1.2889894136812411e-05
61	natural	1.2817940945736744e-05
62	handsome	1.2816242681266656e-05
63	sleeping	1.2754829951026402e-05
64	search	1.2692676698176542e-05
65	tall	1.265558643432658e-05
66	lies	1.2593081809219178e-05
67	red	1.2549188358362198e-05
68	delicious	1.2509992235654597e-05
69	ah	1.244323649052967e-05
70	smells	1.2431547668259428e-05
71	land	1.2405075597912774e-05
72	fly	1.2379886940428118e-05
73	gosh	1.2220603856636977e-05
74	loose	1.2179009801647405e-05
75	dreams	1.2152831875387707e-05
76	soul	1.2089436319042508e-05
77	fear	1.201820460424556e-05
78	huh	1.192773400169865e-05
79	king	1.1897539142794196e-05
80	asleep	1.1842926718806827e-05
81	black	1.1807423049809452e-05
82	wet	1.1687901185311649e-05
83	trick	1.1645050202414118e-05
84	skin	1.160001686480971e-05
85	nervous	1.1488236117817765e-05
86	food	1.1461611184711647e-05
87	dirty	1.1406802727863568e-05
88	clothes	1.1399359386044443e-05
89	forgive	1.1347297147551485e-05
90	cares	1.1301593060495247e-05
91	hoping	1.1269843295791948e-05
92	white	1.1183656929888213e-05
93	lovely	1.1147893460313605e-05
94	kill	1.1139226209211517e-05
95	covered	1.111616274055164e-05
96	bite	1.1092542505734595e-05
97	awful	1.1088346513493522e-05
98	horse	6.821171471472207e-05
99	stars	6.519080408519744e-05
100	field	3.8192578460854917e-05
101	tail	3.602352736726206e-05
102	fellow	3.4270029448354456e-05
103	land	3.2487649437970106e-05
104	bit	2.996582534644337e-05
105	music	2.8945128268720906e-05
106	lived	2.7736648292115205e-05
107	dance	2.772058151353176e-05
108	ho	2.617997659053044e-05
109	sea	2.5914623436522665e-05
110	rope	2.576646898407676e-05
111	birds	2.559057336323602e-05
112	warm	2.4962830768872673e-05
113	mighty	2.4899731087432685e-05
114	soft	2.4662770098100722e-05
115	form	2.33933859716369e-05
116	moon	2.3176368187003323e-05
117	dancing	2.3159908490315762e-05
118	sky	2.2420926360693495e-05
119	beautiful	2.2127138324490744e-05
120	low	2.210793962933013e-05
121	uh	2.2088430492650807e-05
122	dad	2.1144864110569058e-05
123	carry	2.0819514110205395e-05
124	ring	2.075704270452772e-05
125	mama	1.9418113946303977e-05
126	picture	1.91045357874836e-05
127	la	1.8318349667121924e-05
128	singing	1.797732875773501e-05
129	papa	1.7921985234624418e-05
130	mom	1.6888155531850824e-05
131	followed	1.674960939303416e-05
132	guys	1.6630868760824437e-05
133	ain	1.6501043482132845e-05
134	whoa	1.6397628053980214e-05
135	ya	1.555078565262491e-05
136	bird	1.5530831872171122e-05
137	captain	1.5094554286371062e-05
138	mr	1.4979780795215712e-05
139	king	1.3992967739582831e-05
140	cross	1.3819491930408092e-05
141	suddenly	1.3690410201293568e-05
142	fair	1.3684337237477257e-05
143	son	1.3609235550245766e-05
144	simply	1.3534184281760766e-05
145	god	1.2417721470015064e-05
146	gotta	1.2340241831072061e-05
147	race	1.226903099979935e-05
148	000	1.1863090659932616e-05
149	uncle	1.154604403409695e-05
150	car	1.1448467045744021e-05
151	master	1.1232052499822471e-05
152	wanna	1.1188468021094545e-05
153	ooh	1.1120964491974124e-05
154	brought	1.1102173511040123e-05
155	dog	1.1091991092330893e-05
156	named	1.0993251820347716e-05
157	boat	1.0918764315623153e-05
158	ship	1.0843916312293836e-05
159	hmm	1.0824014029139041e-05
160	completely	1.0819021398834159e-05
161	heaven	1.077376528411344e-05
162	sir	1.0680954158613214e-05
163	dogs	1.0654549927834119e-05
164	kid	1.0459327058274546e-05
165	father	1.0452841058690731e-05
