frame_id,centroid_id,red,green,blue
0,0,0.5113802109395962,0.49370097635671567,0.48388446427359405
0,1,0.6677367174186031,0.6629368222934333,0.6594839129538543
0,2,0.8756062044180863,0.8708466175051353,0.8660996049225901
0,3,0.33555760089133596,0.3325992590455076,0.4216831334918645
0,4,0.25483076167784613,0.22392021303556275,0.2090868622994789
0,5,0.12020799233943077,0.08371789909126535,0.10147034262166721
0,6,0.13368980405835937,0.16912963521820767,0.38394514452689316
0,7,0.3954521718239107,0.5886715460795519,0.6847220864305724
0,8,0.45178079044116576,0.32599362188055336,0.20535420844468763
0,9,0.19291282778170218,0.32249412876417577,0.6548994903102883
1,0,0.059878505356124226,0.06259352981551122,0.024627926745309763
1,1,0.11620362561816158,0.10753301894217747,0.03490989927338888
1,2,0.16923072679288093,0.16505606920431254,0.02892703383185315
1,3,0.21948338882719218,0.2264287088420254,0.025785127635956633
1,4,0.2826615927788847,0.29303365312490987,0.01855236754196954
1,5,0.06963774245330027,0.13288946902266885,0.05834319280434249
1,6,0.1208908985694345,0.2221963834721698,0.03855446548328816
1,7,0.1911123128571398,0.33763131982725664,0.055550128315460134
1,8,0.46012152634142894,0.45010709393930853,0.18263699291249302
1,9,0.6577124405848024,0.6328085410775269,0.31567089843098967
2,0,0.016278309120373032,0.019814813963676372,0.032224714246935175
2,1,0.1211687408209072,0.07841711542260327,0.07767814966546743
2,2,0.08409255317308488,0.08544969973867692,0.19041898136129332
2,3,0.13293179358678764,0.11828495869234265,0.2912379020825997
2,4,0.34638591408418007,0.16984151620190377,0.2644268542949221
2,5,0.22269789064417156,0.09831628954667368,0.15852129424943973
2,6,0.04294236019628514,0.04802459094639471,0.08626794203572652
2,7,0.2014865229838335,0.18545910681382444,0.4379423468194407
2,8,0.5803172565069852,0.2664562323337673,0.41740184932544444
2,9,0.28749197827622486,0.2604641781904321,0.5667986813203931
3,0,0.2279766393236552,0.2290651139510541,0.39155995025362966
3,1,0.36447859196519006,0.3603839653430821,0.48452612220585833
3,2,0.4474452384289428,0.4521415600006181,0.5929476876920501
3,3,0.29725082659562735,0.08820836759794527,0.09963410660158495
3,4,0.16425815964828686,0.052346525316633516,0.048249752527606424
3,5,0.10689208064105694,0.14227687689817112,0.25999245094943685
3,6,0.4605341830921745,0.5485184899648028,0.7622075741612305
3,7,0.46704644494685676,0.3117764950085763,0.12217239912927053
3,8,0.3100069801383074,0.1923588335010449,0.022030041790166904
3,9,0.0973746589470872,0.30158204329073196,0.4213923308463161
4,0,0.2971706995092685,0.20351473877384987,0.07030681714293978
4,1,0.13316292630805646,0.09937331567689626,0.08611815816380296
4,2,0.6888009724056476,0.3129533315412495,0.16777659603480227
4,3,0.9271588976496056,0.7700561217839469,0.4644796841381236
4,4,0.7172770685614868,0.5591194395836392,0.3695211702521794
4,5,0.4267249316408716,0.3003565261516435,0.3229269752958404
4,6,0.4677610104304653,0.41880265317112336,0.05750893875711624
4,7,0.24991596372026043,0.5360152151860093,0.3665497344528727
4,8,0.15578975235535808,0.3306258740655129,0.25901920498167236
4,9,0.6750536052903974,0.6612804972541556,0.042305774156233766
5,0,0.23447609831882332,0.1960440768510669,0.1636168440219183
5,1,0.14009217741459457,0.0960816627954442,0.06751243774668511
5,2,0.058771026618616114,0.029098668048896773,0.01667614717093136
5,3,0.2632706632892391,0.1495819495262284,0.04388310348066198
5,4,0.49978741107640573,0.42691471611975385,0.32836188907914904
5,5,0.7712249806367454,0.6875683828624602,0.5422229016347333
5,6,0.3951454926154642,0.2215238786491151,0.0699780780045281
5,7,0.9323355991429471,0.8819114486594956,0.7617191627850368
5,8,0.8870864156418734,0.5832338272955992,0.22292444677020767
5,9,0.639865271261879,0.341322786783444,0.0642357556519485
6,0,0.0002807270481447479,0.00022081301200485538,0.00014835008282889205
6,1,0.17900226429639693,0.1522022691140306,0.11757660066484456
6,2,0.28913977334054564,0.25743838819931963,0.2132038136355558
6,3,0.40807914438504483,0.3470866310160232,0.3212527629233218
6,4,0.5330382755512024,0.5085590862850871,0.4118688439230864
6,5,0.6729142766723546,0.6146076453445968,0.5407175916768618
6,6,0.8115444099917949,0.7762593456004635,0.6803144497506246
6,7,0.2312450874174174,0.38255900410001353,0.46509464023963565
6,8,0.6309040430331597,0.3366779455144922,0.4654809416391909
6,9,0.5959839665032821,0.18406096813725784,0.1858328227124226
7,0,0.04599686082994921,0.04429981236105215,0.10699405519374221
7,1,0.08725719630796552,0.0827419755550493,0.19115707045820635
7,2,0.24079435929557075,0.14975988459275583,0.13642409827138405
7,3,0.3873215729992969,0.26428156794739327,0.2821644649436602
7,4,0.5317448609537619,0.28008043342728717,0.07632306841231655
7,5,0.5612816140948832,0.4189640850766388,0.47959374385208126
7,6,0.7707489252998115,0.6441664034280806,0.5454542125044717
7,7,0.18120157781702384,0.18066148522386868,0.3652828973413483
7,8,0.29625227483551514,0.2734550591634468,0.5250564725708988
7,9,0.850040849673182,0.5579146241830132,0.13418096405228935
