frame_id,centroid_id,red,green,blue
0,0,0.4948409661638601,0.3336431652742103,0.38283258952613014
0,1,0.5387126649529148,0.5742250325642928,0.639382159628261
0,2,0.36366959978116187,0.42047482394976443,0.5537651298161518
0,3,0.24414146318910088,0.31293046306577865,0.42566014613393277
0,4,0.7276261576840661,0.7455248882923641,0.815440609504215
0,5,0.26395973307732523,0.21235888294717054,0.10694768194770105
0,6,0.0975099588435458,0.1852268046313942,0.33884063088090094
0,7,0.5185678027846544,0.40743292344925186,0.10708746785051373
0,8,0.8809675110919936,0.6999234292257381,0.25601044797482275
0,9,0.5746032469555241,0.06521564069259236,0.13142344888364021
1,0,0.3963812029251403,0.507647123301781,0.6764874446983188
1,1,0.515431260530387,0.5812413271242721,0.710683039684286
1,2,0.3014533439685248,0.4415301554680643,0.622623626490575
1,3,0.21411807988137235,0.35719228041387385,0.546027525543865
1,4,0.14319266692043073,0.2524706416444434,0.4572447542176321
1,5,0.05096112708193457,0.1030148591272424,0.374558592098269
1,6,0.6484268610625414,0.7438434588657908,0.9081232067585444
1,7,0.6344972251520251,0.6572651031601457,0.7690131457289227
1,8,0.03944463001815608,0.04927594977246943,0.192086052822322
1,9,0.5366468412272309,0.06547472256472463,0.30527670994412515
2,0,0.5315320569511908,0.22147944536069794,0.41350309269036906
2,1,0.595974081362625,0.29819595719484576,0.5294138430462618
2,2,0.6166941888810353,0.3328129553307514,0.6271914852281735
2,3,0.5662380185092709,0.26410310157776457,0.4776209814614868
2,4,0.6027362836208119,0.23204323585208078,0.4103676770758605
2,5,0.42431790562007976,0.18461273962004557,0.34683987237117275
2,6,0.18221046203949554,0.043055838252255084,0.18197073523758317
2,7,0.00959045906810629,0.012002436741303406,0.011509145209085064
2,8,0.43962534245593304,0.24151957198387683,0.49876127773714296
2,9,0.5220439023454977,0.2759344863135101,0.5847204628892546
3,0,0.5705938721022787,0.5214497045487673,0.525588221545764
3,1,0.7204594674528624,0.6704244764966717,0.6633391866723145
3,2,0.647550244125781,0.5995285174346237,0.5962005950293081
3,3,0.38880167106419955,0.3501360649800715,0.36373014641209767
3,4,0.29888474267077125,0.2993541448362684,0.27108929949022204
3,5,0.35787345531895143,0.44975794187362667,0.3070681621416271
3,6,0.48393043788093637,0.4366842321463045,0.4481172382015933
3,7,0.22407571205459006,0.21522854699239952,0.1883752805212011
3,8,0.11772363718888065,0.11883619793152811,0.1232454100252365
3,9,0.7842573418354101,0.7656510774404394,0.773618600455126
4,0,0.38621697036585945,0.4985682635407536,0.5882624045860736
4,1,0.5562691688974518,0.6696452386205632,0.8484790752053847
4,2,0.5233779788283461,0.5994106784344265,0.6973385319544803
4,3,0.3989338174015265,0.2422377508758024,0.31346944949844696
4,4,0.533333149438056,0.400894834838962,0.4337005723742376
4,5,0.756745071416268,0.6603623390972256,0.6421495414187389
4,6,0.15874876522886824,0.1813936611852252,0.21340900140094682
4,7,0.08916679189717638,0.2631713176217986,0.504709541264049
4,8,0.9500200590062592,0.8880970513917815,0.9109288043384813
4,9,0.21824161293239722,0.5591311751775496,0.8405136049692054
5,0,0.4568568595347543,0.6431253054249922,0.772405625885121
5,1,0.6074598877572502,0.7730084779247727,0.9117707707322131
5,2,0.5446596996321551,0.7898004632680751,0.9827291033996567
5,3,0.693118679050532,0.909313283207961,0.9932336724163805
5,4,0.1562386960135126,0.19459175868624162,0.3046149258182809
5,5,0.05840239869285917,0.11470040113130488,0.15321551260372748
5,6,0.392153722292606,0.38196188347199594,0.44025389130616255
5,7,0.5263859680580469,0.713809688084417,0.849152466394006
5,8,0.24849947465192435,0.5738243406109341,0.8412488990868807
5,9,0.14316040887084275,0.4657728736731116,0.7655249851242495
6,0,0.020228959240727883,0.028946715261697595,0.03966536726391721
6,1,0.04045461338283592,0.06741985519576298,0.1394108886656586
6,2,0.066681604078927,0.11759917611878684,0.24425083898464184
6,3,0.11846594457121616,0.18591246863541117,0.32422851595763913
6,4,0.18422003234854717,0.2810406821393405,0.3989068763439569
6,5,0.2647701783181752,0.36111962324996333,0.4643199852483845
6,6,0.4729321276008117,0.5429891824875521,0.5660626252299289
6,7,0.5886299482732734,0.6540508342391641,0.6643548284749061
6,8,0.36564345527858405,0.43630549811958436,0.5027162262635815
6,9,0.8069138698424049,0.8552748706844839,0.880184650547349
7,0,0.02132182402097366,0.009767034598179663,0.022908757804305305
7,1,0.1435960971802436,0.14364575653233522,0.19978514729319372
7,2,0.3028701326053339,0.19550823472739962,0.20025912635997095
7,3,0.36193415551168157,0.2354282447884435,0.25922352323217307
7,4,0.3713035313627936,0.3321812506096954,0.3968856696907542
7,5,0.5085779750823801,0.4785293696455909,0.528161108349952
7,6,0.5598793474066346,0.5872064986243798,0.6442382062234947
7,7,0.6919157275846097,0.6811323745570923,0.7363002885296979
7,8,0.9006277875957651,0.8985026227944495,0.9485000981794401
7,9,0.54772765907559,0.21521615522143797,0.20130718954247898
8,0,0.32204406666882984,0.4081115511338637,0.562639385256045
8,1,0.4754878446656953,0.5235126579488739,0.7055128872115417
8,2,0.3605678231073652,0.43338453246495573,0.657144077954671
8,3,0.19933897151744687,0.33742787870469837,0.6740180353272801
8,4,0.7105368888789897,0.6278387508777517,0.6962962758184098
8,5,0.24149052292276196,0.36098774615462886,0.5696013344265763
8,6,0.1609203405876939,0.3018341822703798,0.5704306860846036
8,7,0.08249474695629913,0.2506054462711403,0.5680482963244667
8,8,0.026677291344610436,0.19244224159462045,0.4996603290463287
8,9,0.4296440346129986,0.47794865236439554,0.5805492603410232
9,0,0.7480333124449243,0.2551453559654468,0.19742073763275983
9,1,0.43409524054807747,0.3370716149857457,0.6599125201744436
9,2,0.5268293779691156,0.3887185518848503,0.790349950852086
9,3,0.07588493497961205,0.17977540178079332,0.470997253650058
9,4,0.18507446694526664,0.3692517213960678,0.5802737315806374
9,5,0.016639139781142433,0.02486450321846656,0.1926488964493517
9,6,0.002604117702525808,0.0024401506397611246,0.029785967221232678
