Title,House,Year,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase
The.Great.Mouse.Detective.1986..srt,Disney Animation,1980,981,4.0,4.3,5.35
.DS_Store,Disney Animation,1990,3,306.45,3.0,1027.75
A Bug's Life 1998.srt,Disney Animation,1990,1872,3.8,4.41,4.97
A Goofy Movie 1995.srt,Disney Animation,1990,1678,4.29,3.41,5.05
Aladdin 1992.srt,Disney Animation,1990,1883,3.79,4.33,4.81
Beauty and the Beast 1991.srt,Disney Animation,1990,1706,3.75,4.46,4.65
DuckTales The Movie - Treasure of the Lost Lamp 1990.srt,Disney Animation,1990,1042,3.89,4.62,4.96
Hercules 1997.srt,Disney Animation,1990,1831,3.77,4.58,4.78
Mulan 1998.srt,Disney Animation,1990,1093,4.21,4.88,5.06
Pocahontas 1995.srt,Disney Animation,1990,1728,3.8,4.39,4.45
Tarzan 1999.srt,Disney Animation,1990,1023,3.82,4.39,5.09
The Hunchback of Notre Dame 1996.srt,Disney Animation,1990,1419,3.95,4.85,5.07
The Lion King 1994.srt,Disney Animation,1990,1596,3.79,4.41,4.81
The Nightmare Before Christmas 1993.srt,Disney Animation,1990,1395,3.64,4.51,4.46
The Rescuers Down Under 1990.srt,Disney Animation,1990,996,3.83,4.53,5.03
Toy Story 1995.srt,Disney Animation,1990,1719,3.81,4.09,5.03
Toy Story 2 1999.srt,Disney Animation,1990,1801,3.77,4.21,4.96
2008_Bolt.srt,Disney Animation,2000,1595,3.79,4.52,4.91
A.Christmas.Carol.(2009).srt,Disney Animation,2000,905,3.91,5.06,4.95
Atlantis.The.Lost.Empire.2001.srt,Disney Animation,2000,1801,3.93,4.42,5.34
Brother.Bear.2003.srt,Disney Animation,2000,1295,3.73,4.57,4.81
Cars.2006.srt,Disney Animation,2000,2193,3.8,4.68,4.9
chicken.little.2005.srt,Disney Animation,2000,1466,3.82,4.14,4.98
engDinosaur.2000.srt,Disney Animation,2000,744,3.7,4.28,4.8
Finding.Nemo.2003.srt,Disney Animation,2000,2302,3.72,3.78,5.03
"Home on the Range, 2004.sub",Disney Animation,2000,1934,4.04,3.95,4.52
Lilo.And.Stitch.2002.srt,Disney Animation,2000,1130,3.91,4.27,5.2
Meet.The.Robinsons.2007.srt,Disney Animation,2000,1709,3.85,4.97,4.96
Monsters Inc (2001).srt,Disney Animation,2000,2028,3.81,3.9,5.45
Piglets.Big.Movie.2003.srt,Disney Animation,2000,1190,3.85,5.13,4.73
Ratatouille.2007.srt,Disney Animation,2000,1817,3.91,4.89,4.91
Recess.Schools.Out.2001.srt,Disney Animation,2000,1721,4.02,5.1,5.27
Return to Never Land 2002.srt,Disney Animation,2000,1386,3.58,3.46,4.65
Tangled (2010).srt,Disney Animation,2000,1246,3.9,4.96,4.86
The Incredibles 2004.srt,Disney Animation,2000,1842,3.96,4.45,5.19
The Jungle Book 2 2003.srt,Disney Animation,2000,1250,3.78,4.19,5.16
The Princess And The Frog.srt,Disney Animation,2000,1634,3.86,5.43,4.62
The Tigger Movie 2000.srt,Disney Animation,2000,1780,3.93,3.96,4.52
The.Emperors.New.Groove.2000.srt,Disney Animation,2000,1770,3.73,4.28,4.94
The.Wild.2006.srt,Disney Animation,2000,1697,3.77,4.17,5.05
Toy.Story.3.2010.srt,Disney Animation,2000,1883,3.79,4.1,5.06
Treasure Planet.srt,Disney Animation,2000,1673,4.17,10.48,4.45
Up 2009.srt,Disney Animation,2000,1288,3.84,4.32,5.07
Valiant.srt,Disney Animation,2000,1134,3.93,4.72,5.01
WALL-E (2008) 1080p.srt,Disney Animation,2000,898,3.92,3.89,5.3
.DS_Store,Disney Animation,2010,3,306.45,3.0,1027.75
Arjun The Warrior Prince 2012.srt,Disney Animation,2010,868,4.01,4.73,5.44
Big Hero 6 2014.srt,Disney Animation,2010,1437,4.0,4.28,5.2
Brave 2012.srt,Disney Animation,2010,1271,3.76,4.29,5.13
Cars 2 2011.srt,Disney Animation,2010,2094,4.05,5.01,5.08
Cars 3 2017.srt,Disney Animation,2010,2406,3.86,4.62,4.82
Coco 2017.srt,Disney Animation,2010,1929,3.84,4.57,4.84
Finding Dory 2016.srt,Disney Animation,2010,3004,3.77,3.56,4.86
Frankenweenie 2012.srt,Disney Animation,2010,828,3.94,4.21,5.29
Frozen 2013.srt,Disney Animation,2010,2035,3.71,3.77,5.01
Frozen.II.2019.1080p.WEBRip.x264.AAC5.1-[YTS.MX].srt,Disney Animation,2010,1475,3.8,4.88,4.7
Incredibles 2 2018.srt,Disney Animation,2010,2276,4.02,4.33,5.35
Inside Out 2015.srt,Disney Animation,2010,1956,3.98,7.77,4.92
Mars Needs Moms 2011.srt,Disney Animation,2010,1437,3.7,4.11,4.86
Moana 2016.srt,Disney Animation,2010,1450,3.77,4.66,4.83
Monsters University 2013.srt,Disney Animation,2010,1661,3.95,4.61,5.1
Onward.2020.720p.WEBRip.x264.AAC-[YTS.MX].srt,Disney Animation,2010,1992,3.73,4.44,4.87
Planes 2013.srt,Disney Animation,2010,1193,3.86,4.96,4.92
Planes Fire and Rescue 2014.srt,Disney Animation,2010,1610,3.95,4.48,5.27
Ralph.Breaks.The.Internet.2018.720p.WEBRip.x264-[YTS.AM].srt,Disney Animation,2010,2564,3.86,4.41,5.16
Tangled 2010.srt,Disney Animation,2010,1246,3.9,4.96,4.86
The Good Dinosaur 2015.srt,Disney Animation,2010,682,3.68,4.09,4.97
The Lion King 2019.srt,Disney Animation,2010,1674,3.82,4.37,5.02
Toy Story 3 2010.srt,Disney Animation,2010,1883,3.79,4.1,5.06
Toy.Story.4.2019.srt,Disney Animation,2010,2316,3.66,3.67,5.08
Winnie the Pooh 2011.srt,Disney Animation,2010,1286,3.91,4.65,4.87
Wreck it Ralph 2012.srt,Disney Animation,2010,2057,3.79,4.55,4.9
Zootopia 2016.srt,Disney Animation,2010,2127,3.96,4.56,5.03
Fantasia.srt,Disney Animation + Live Action,1940,158,4.51,10.02,5.43
Melody.Time.1948.srt,Disney Animation + Live Action,1940,661,4.09,6.32,4.91
Saludos Amigos.1943.srt,Disney Animation + Live Action,1940,428,4.5,6.23,5.46
So Dear To My Heart (1948).ENG.srt,Disney Animation + Live Action,1940,1319,3.84,5.38,4.78
Song of the South 196.srt,Disney Animation + Live Action,1940,2119,3.63,4.45,4.73
The.Reluctant.Dragon.1941.srt,Disney Animation + Live Action,1940,410,3.93,4.32,4.96
The.Three.Caballeros.1944.srt,Disney Animation + Live Action,1940,1086,4.04,4.83,4.41
Mary.Poppins.1964.srt,Disney Animation + Live Action,1960,2101,4.15,4.59,5.39
Tron (1982).srt,Disney Animation + Live Action,1980,1140,3.99,4.79,5.17
Fantasia.2000.1999.720p.PROPER.BluRay.x264-FLAME.srt,Disney Animation + Live Action,1990,147,4.39,7.15,5.66
james and the giant peach.txt,Disney Animation + Live Action,1990,1286,4.13,4.45,5.17
G-Force (2009).srt,Disney Animation + Live Action,2000,1685,3.93,4.81,4.99
Mary Poppins Returns (2018).srt,Disney Animation + Live Action,2000,2505,3.8,5.49,4.48
Davy Crockett and the River Pirates 1956.srt,Disney Live Action,1950,1157,3.89,5.6,4.96
Johnny Tremain 1957.srt,Disney Live Action,1950,1478,3.98,5.7,4.78
Old Yeller 1957.srt,Disney Live Action,1950,1159,3.68,5.61,4.73
The Shaggy Dog 1959.srt,Disney Live Action,1950,1873,3.86,4.54,5.12
The Sword and the Rose 1953.srt,Disney Live Action,1950,1091,4.09,5.76,5.11
Third Man On the Mountain 1959.srt,Disney Live Action,1950,1509,3.76,5.3,4.88
