Title,House,Year,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase
The Princess Diaries 2 Royal Engagement (2004).srt,Disney Live Action,2000,2218,4.01,4.95,4.97
The Rookie.srt,Disney Live Action,2000,2542,3.58,4.13,4.31
The Santa Clause 2 (2002).srt,Disney Live Action,2000,2019,3.83,4.47,4.93
The.Chronicles.Of.Narnia.The.Lion.The.Witch.And.The.Wardrobe.2005.srt,Disney Live Action,2000,1202,3.8,4.91,4.86
The.Lizzie.McGuire.Movie.2003.srt,Disney Live Action,2000,1841,3.85,4.56,5.12
The.Pacifier.2005.srt,Disney Live Action,2000,1577,3.79,4.27,4.92
the.shaggy.dog-done.srt,Disney Live Action,2000,2014,3.74,4.33,4.95
The.Young.Black.Stallion.2003.srt,Disney Live Action,2000,455,3.8,3.33,4.98
Tuck Everlasting.2002.srt,Disney Live Action,2000,1077,3.81,4.76,5.15
.DS_Store,Disney Live Action,2010,3,306.45,3.0,1027.75
A Wrinkle in Time 2018.srt,Disney Live Action,2010,1585,3.84,3.99,5.24
Aladdin 2019.srt,Disney Live Action,2010,90,4.0,5.21,4.69
Alexander And The Terrible Horrible No Good Very Bad Day 2014.srt,Disney Live Action,2010,1961,3.79,4.39,4.93
Alice in Wonderland 2010.srt,Disney Live Action,2010,1152,3.94,4.69,5.25
Alice Through the Looking Glass 2016.srt,Disney Live Action,2010,1416,3.93,4.31,5.49
Beauty And The Beast 2017.srt,Disney Live Action,2010,2323,3.77,4.25,4.74
Christopher Robin 2018.srt,Disney Live Action,2010,2160,3.86,4.54,4.94
Cinderella 2015.srt,Disney Live Action,2010,1458,3.94,4.78,5.26
Dangal 2016.srt,Disney Live Action,2010,1945,4.06,5.96,4.79
Do Dooni Chaar 2010.srt,Disney Live Action,2010,2366,3.85,5.0,5.11
Into the Woods 2014.srt,Disney Live Action,2010,2273,3.8,5.36,4.37
Jagga Jasoos 2017.srt,Disney Live Action,2010,1764,4.01,4.71,5.18
Khoobsurat 2014.srt,Disney Live Action,2010,1995,4.0,4.43,5.26
Lady and the Tramp 2019.srt,Disney Live Action,2010,2214,3.64,4.03,4.78
Maleficent 2014.srt,Disney Live Action,2010,826,3.85,4.66,4.83
Maleficent Mistress of Evil 2019.srt,Disney Live Action,2010,1110,3.92,4.13,5.37
"McFarland, USA 2015.srt",Disney Live Action,2010,1751,3.79,4.53,5.05
Million Dollar Arm 2014.srt,Disney Live Action,2010,2396,3.77,4.7,4.84
Muppets Most Wanted 2014.srt,Disney Live Action,2010,1875,3.97,4.73,5.06
Noelle 2019.srt,Disney Live Action,2010,1897,3.91,4.98,4.96
Oz the Great and Powerful 2013.srt,Disney Live Action,2010,1850,3.8,4.41,5.02
Pete’s Dragon 2016.srt,Disney Live Action,2010,907,3.7,4.77,4.91
"Prince of Persia, The Sands of Time 2010.srt",Disney Live Action,2010,1045,4.07,6.45,5.11
Prom 2011.srt,Disney Live Action,2010,1777,3.74,4.4,4.95
Queen of Katwe 2016.srt,Disney Live Action,2010,1526,3.99,4.28,5.3
Saving Mr Banks 2013.srt,Disney Live Action,2010,1775,4.01,4.79,4.86
Secretariat 2010.srt,Disney Live Action,2010,1919,3.96,5.13,5.13
Stargirl 2020.srt,Disney Live Action,2010,1313,3.76,5.3,4.71
The BFG 2016.srt,Disney Live Action,2010,1003,3.9,4.79,4.85
The Finest Hours 2016.srt,Disney Live Action,2010,1682,3.69,4.51,4.93
The Jungle Book 2016.srt,Disney Live Action,2010,1136,3.67,4.98,4.63
The Lone Ranger 2013.srt,Disney Live Action,2010,1464,3.91,4.73,5.08
The Muppets 2011.srt,Disney Live Action,2010,2196,3.84,4.35,4.76
The Nutcracker And The Four Realms 2018.srt,Disney Live Action,2010,1136,3.93,4.14,5.49
The Odd Life of Timothy Green 2012.srt,Disney Live Action,2010,1795,3.7,4.3,4.78
The Sorcerer Apprentice 2010.srt,Disney Live Action,2010,1413,3.92,4.82,4.91
Timmy Failure Mistakes Were Made (2020).srt,Disney Live Action,2010,1787,4.01,4.74,5.19
Togo 2019.srt,Disney Live Action,2010,1037,3.84,4.61,4.98
Tomorrowland 2015.srt,Disney Live Action,2010,1757,3.93,4.33,5.23
TRON Legacy 2010.srt,Disney Live Action,2010,1197,3.99,4.62,5.16
__Bad Boys for Life 2020.srt,Disney Live Action,2010,2302,3.78,3.94,5.0
__Pirates of the Caribbean 5 Salazar's Revenge.srt,Disney Live Action,2010,1432,3.89,4.79,5.03
__Pirates of the Caribbean On Stranger Tides.srt,Disney Live Action,2010,1725,4.01,4.6,5.01
Antz.1998.srt,subtitle dreamworks,1990,1627,3.9,4.49,5.03
The.Prince.of.Egypt.1998.srt,subtitle dreamworks,1990,949,3.92,4.96,4.93
Chicken.Run.2000.srt,subtitle dreamworks,2000,1406,3.81,4.18,5.13
Flushed.Away.2006.srt,subtitle dreamworks,2000,2413,3.86,6.35,4.37
madagascar.2005.srt,subtitle dreamworks,2000,1900,3.73,4.01,4.97
Monsters.Vs.Aliens.2009.srt,subtitle dreamworks,2000,1284,3.96,4.83,5.23
Over.the.Hedge.2006.srt,subtitle dreamworks,2000,1912,3.75,3.98,5.11
Shanghai.Knights.2003.srt,subtitle dreamworks,2000,1566,3.86,4.5,5.08
Shark.Tale.2004.srt,subtitle dreamworks,2000,2403,3.72,3.85,5.02
Shrek.2.2004.srt,subtitle dreamworks,2000,1618,3.87,4.72,4.97
Sinbad.Legend.of.the.Seven.Seas.2003.srt,subtitle dreamworks,2000,1060,3.82,4.26,5.3
The Road to El Dorado 2000.srt,subtitle dreamworks,2000,1649,3.76,4.09,4.73
Wallace And Gromit In The Curse Of The Were-Rabbit.2005.sub,subtitle dreamworks,2000,465,4.39,4.8,5.42
Home.2015.srt,subtitle dreamworks,2010,1318,3.87,4.44,4.9
How.to.Train.Your.Dragon.2010.srt,subtitle dreamworks,2010,1287,3.82,4.36,5.02
Kung Fu Panda 2.srt,subtitle dreamworks,2010,1120,3.8,4.51,4.75
Kung_Fu_Panda_3_(2016).srt,subtitle dreamworks,2010,1477,3.8,4.26,5.07
Madagascar Escape 2 Africa (2008).srt,subtitle dreamworks,2010,1793,3.8,4.29,4.95
madagascar3.srt,subtitle dreamworks,2010,1562,3.87,4.34,5.03
Megamind 3D(2010).srt,subtitle dreamworks,2010,1691,3.88,4.86,4.96
Mr. Peabody . Sherman.2014.srt,subtitle dreamworks,2010,1723,3.98,4.24,5.56
Penguins Of Madagascar.srt,subtitle dreamworks,2010,1499,4.13,4.24,5.43
Puss in Boots 3D (2011).srt,subtitle dreamworks,2010,1080,3.79,4.73,4.91
Rise of the Guardians (2012).en.srt,subtitle dreamworks,2010,1434,3.76,4.23,4.9
The.Boss.Baby.2017.BRRip.XviD.AC3-EVO.srt,subtitle dreamworks,2010,1842,3.81,4.13,5.05
The.Croods.2013.srt,subtitle dreamworks,2010,1222,3.61,4.08,4.81
Trolls (2016).eng.srt,subtitle dreamworks,2010,1635,3.87,4.55,4.9
Turbo.2013.srt,subtitle dreamworks,2010,1452,3.86,4.47,4.97
Monster.Trucks.2016.srt,subtitle paramount,2010,1153,3.78,4.63,4.86
Sherlock.Gnomes.2018.srt,subtitle paramount,2010,1651,3.95,4.52,5.08
The SpongeBob Movie Sponge Out of Water (2015).srt,subtitle paramount,2010,1406,3.98,4.73,5.21
Wonder.Park.2019.srt,subtitle paramount,2010,1421,3.95,4.69,5.07
Cloudy.With.A.Chance.Of.Meatballs.2009.srt,subtitle sony,2000,1342,4.01,4.59,5.41
open.season.srt,subtitle sony,2000,1519,3.73,3.86,4.92
Surf's Up.En.srt,subtitle sony,2000,1925,3.67,4.44,4.81
Angry Birds 2.english.srt,subtitle sony,2010,1934,3.84,4.24,4.85
Arthur-Christmas-(2011).eng.srt,subtitle sony,2010,1877,3.91,4.06,5.4
Cloudy.with.a.Chance.of.Meatballs.2.2013.720p.BluRay.x264.YIFY.srt,subtitle sony,2010,1645,4.02,4.13,5.52
"Goosebumps, 2015.srt",subtitle sony,2010,2024,3.73,3.81,4.92
Goosebumps.Haunted.Halloween.2018.srt,subtitle sony,2010,1692,3.83,3.99,5.15
Hotel Transylvania(eng).srt,subtitle sony,2010,1689,3.84,5.06,4.19
Hotel.Transylvania.2.2015..srt,subtitle sony,2010,1785,3.82,4.04,5.05
Hotel.Transylvania.3.Summer.Vacation.2018.srt,subtitle sony,2010,1235,3.89,4.51,5.08
Peter.Rabbit.2018.srt,subtitle sony,2010,2000,3.84,4.4,5.05
Smurfs The Lost Village (2017).srt,subtitle sony,2010,1824,3.85,4.22,5.1
Spider-Man.Into.the.Spider-Verse.2018.srt,subtitle sony,2010,2620,3.72,4.28,4.59
The Pirates. Band of Misfits (2012).srt,subtitle sony,2010,1266,4.07,4.91,5.38
"the smurfs 2, 2013.srt",subtitle sony,2010,950,3.62,4.34,4.7
The.Emoji.Movie.2017.srt,subtitle sony,2010,1544,3.77,4.58,4.91
The.Smurfs.2011.srt,subtitle sony,2010,2248,3.92,4.29,5.12
The.Star.2017.BRRip.XviD.AC3-EVO.srt,subtitle sony,2010,1655,3.73,4.46,4.74
The.Land.Before.Time.II.The.Great.Valley.Adventure.1994.srt,subtitle universal animation studios,1990,1023,3.86,3.56,5.14
The.Land.Before.Time.III.The.Time.of.The.Great.Giving.1995.srt,subtitle universal animation studios,1990,1073,3.82,4.19,5.09
The.Land.Before.Time.IV.Journey.Through.the.Mists.1996..srt,subtitle universal animation studios,1990,1336,3.8,3.34,5.04
The.Land.Before.Time.V.The.Mysterious.Island.1997.srt,subtitle universal animation studios,1990,898,3.78,4.26,5.18
The.Land.Before.Time.VI.The.Secret.of.Saurus.Rock.1998..srt,subtitle universal animation studios,1990,1056,3.85,3.83,5.43
Balto.II.Wolf.Quest.2002.srt,subtitle universal animation studios,2000,1012,3.74,4.67,4.81
Balto.III.Wings.of.Change.2004.srt,subtitle universal animation studios,2000,258,3.63,3.66,4.93
Curious George 2 Follow That Monkey. (2009).srt,subtitle universal animation studios,2000,871,4.04,4.63,5.16
The Land Before Time 11 NTSC.srt,subtitle universal animation studios,2000,1281,3.78,4.28,4.79
The.Chronicles.Of.Riddick-Dark.Fury2004.srt,subtitle universal animation studios,2000,352,4.14,4.93,5.36
The.Land.Before.Time.IX.Journey.to.Big.Water.2002.srt,subtitle universal animation studios,2000,1047,3.85,4.38,5.04
The.Land.Before.Time.VII.The.Stone.of.Cold.Fire.2000.srt,subtitle universal animation studios,2000,1435,3.87,4.03,5.14
The.Land.Before.Time.VIII.The.Big.Freeze.2001.srt,subtitle universal animation studios,2000,1082,3.82,4.32,5.16
The.Land.Before.Time.X.The.Great.Longneck.Migration.2003.srt,subtitle universal animation studios,2000,1228,3.75,3.83,4.83
The.Land.Before.Time.XII.The.Great.Day.Of.The.Flyers.2006.srt,subtitle universal animation studios,2000,1004,3.69,4.98,4.53
The.Land.Before.Time.XIII.The.Wisdom.of.Friends.2007.srt,subtitle universal animation studios,2000,849,3.68,4.63,4.75
Van.Helsing.The.London.Assignment.dfizams.srt,subtitle universal animation studios,2000,343,3.97,5.16,5.0
Curious.George.3.Back.to.the.Jungle.2015.srt,subtitle universal animation studios,2010,911,3.91,4.88,4.81
Curious.George.Royal.Monkey.2019.srt,subtitle universal animation studios,2010,1230,3.84,4.36,4.87
The.Land.Before.Time.XIV.Journey.Of.The.Brave.2016.srt,subtitle universal animation studios,2010,1095,3.79,4.49,5.16
The.Little.Engine.That.Could.(2010).srt,subtitle universal animation studios,2010,1351,3.81,4.05,5.18
