frame_id,centroid_id,red,green,blue
0,0,0.019061870956887418,0.02114680411396171,0.006894577487482616
0,1,0.05075703668563426,0.04504745629921621,0.03366028046113871
0,2,0.09819424495824208,0.07365678295060993,0.05710068863234603
0,3,0.15597857506777188,0.11586393566535574,0.08973850636156423
0,4,0.2309956205704533,0.16389706197508855,0.11754343501575298
0,5,0.3194367439891663,0.2196054584801217,0.14703517567966348
0,6,0.4266361617110538,0.29204493391557773,0.18535124194603955
0,7,0.5928209101138053,0.37378857469610594,0.2643240551159356
0,8,0.9232570806100178,0.6086873638344269,0.19335511982570938
0,9,0.9807623049219649,0.9580132052821104,0.3513005202080818
1,0,0.1402812624257438,0.11229363789244215,0.18451103585942671
1,1,0.24964516771175327,0.25766149099233926,0.3664544142530235
1,2,0.4836284809071362,0.42934604557183015,0.2516046258423333
1,3,0.18406360002180658,0.15580614464859027,0.04752615712001244
1,4,0.05005649257450592,0.027658741872372494,0.03478189568487177
1,5,0.33133977122782116,0.2747753880806418,0.11882621887161673
1,6,0.3951787837121788,0.4542214511809473,0.5148938684311544
1,7,0.598051160791374,0.5784327833881037,0.44656766337749293
1,8,0.5384877618805903,0.5765223465589834,0.6915846024823985
1,9,0.8178390748912636,0.7114525851519715,0.5447786011844278
2,0,0.03431850653892636,0.020952911520140963,0.0027676036136307235
2,1,0.06853661772626635,0.05712922870162565,0.011680909385358158
2,2,0.15298446833929327,0.1445195024246186,0.13252456251316752
2,3,0.11707657343817479,0.10649812547692558,0.09128993729470591
2,4,0.09696075001136557,0.08388494619832557,0.04389016015451468
2,5,0.1661558123249158,0.14312955182072157,0.06658963585434124
2,6,0.18325068204114106,0.11632934188068714,0.29598234084585506
2,7,0.2461472875457549,0.20396467857937536,0.09965871288053205
2,8,0.27020179024582924,0.28652713519868467,0.17209533834340016
2,9,0.46969460350511993,0.5217247961131332,0.500355717508239
3,0,0.03362146889533441,0.059190873064942445,0.03334642202483039
3,1,0.09039610675135369,0.12384659527056316,0.13982486343073391
3,2,0.1797821993669186,0.1929934447650925,0.24018695719609137
