year,ref_color,counts
1950,#87CEFA,1
1950,#8A2BE2,1
1950,#8B0000,45
1950,#8B008B,1
1950,#8B4513,159
1950,#8FBC8F,23
1950,#90EE90,1
1950,#9370DB,2
1950,#9932CC,3
1950,#9ACD32,7
1950,#A0522D,184
1950,#A52A2A,58
1950,#A9A9A9,267
1950,#ADD8E6,6
1950,#AFEEEE,1
1950,#B0C4DE,36
1950,#B0E0E6,8
1950,#B22222,37
1950,#B8860B,34
1950,#BA55D3,1
1950,#BC8F8F,222
1950,#BDB76B,44
1950,#C0C0C0,158
1950,#C71585,18
1950,#CD5C5C,35
1950,#CD853F,63
1950,#D2691E,14
1950,#D2B48C,98
1950,#D3D3D3,41
1950,#D8BFD8,38
1950,#DA70D6,9
1950,#DAA520,46
1950,#DB7093,44
1950,#DC143C,2
1950,#DCDCDC,17
1950,#DDA0DD,13
1950,#DEB887,19
1950,#E0FFFF,2
1950,#E6E6FA,12
1950,#E9967A,26
1950,#EEE8AA,1
1950,#F08080,11
1950,#F0E68C,3
1950,#F0F8FF,1
1950,#F0FFF0,2
1950,#F4A460,5
1950,#F5DEB3,3
1950,#F5F5DC,2
1950,#FAEBD7,3
1950,#FAFAD2,1
1950,#FF00FF,2
1950,#FF1493,2
1950,#FF4500,2
1950,#FF7F50,2
1950,#FF8C00,2
1950,#FFA07A,1
1950,#FFA500,6
1950,#FFC0CB,1
1950,#FFD700,7
1950,#FFE4C4,1
1950,#FFE4E1,1
1950,#FFF0F5,1
1950,#FFFF00,1
1960,#008080,19
1960,#008B8B,1
1960,#191970,2
1960,#1E90FF,1
1960,#20B2AA,2
1960,#228B22,3
1960,#2E8B57,37
1960,#2F4F4F,831
1960,#3CB371,1
1960,#40E0D0,1
1960,#4169E1,1
1960,#4682B4,143
1960,#483D8B,65
1960,#556B2F,187
1960,#5F9EA0,83
1960,#6495ED,10
1960,#663399,2
1960,#66CDAA,3
1960,#696969,448
1960,#6B8E23,9
1960,#708090,167
1960,#778899,108
1960,#800000,24
1960,#800080,14
1960,#808000,3
1960,#808080,194
1960,#87CEEB,22
1960,#87CEFA,4
1960,#8B0000,1
1960,#8B4513,72
1960,#8FBC8F,113
1960,#90EE90,1
1960,#9370DB,1
1960,#9ACD32,2
1960,#A0522D,89
1960,#A52A2A,27
1960,#A9A9A9,147
1960,#ADD8E6,12
1960,#AFEEEE,2
1960,#B0C4DE,56
1960,#B0E0E6,5
1960,#B22222,6
1960,#B8860B,6
1960,#BC8F8F,63
1960,#BDB76B,91
1960,#C0C0C0,79
1960,#C71585,6
1960,#CD5C5C,5
1960,#CD853F,14
1960,#D2691E,1
1960,#D2B48C,104
1960,#D3D3D3,23
1960,#D8BFD8,13
1960,#DAA520,5
1960,#DB7093,7
1960,#DCDCDC,5
1960,#DDA0DD,7
1960,#DEB887,8
1960,#E0FFFF,1
1960,#E6E6FA,2
1960,#E9967A,2
1960,#EEE8AA,7
1960,#F08080,1
1960,#F0E68C,6
1960,#F0FFFF,1
1960,#F5DEB3,4
1960,#FAEBD7,5
1960,#FF7F50,1
1960,#FFD700,2
1960,#FFE4C4,2
1960,#FFEBCD,1
1960,#FFEFD5,1
1970,#00008B,1
1970,#006400,1
1970,#008080,20
1970,#008B8B,1
1970,#00BFFF,1
1970,#191970,19
1970,#20B2AA,1
1970,#228B22,1
1970,#2E8B57,2
1970,#2F4F4F,856
1970,#4682B4,135
1970,#483D8B,130
1970,#4B0082,2
1970,#556B2F,125
1970,#5F9EA0,33
1970,#6495ED,9
1970,#663399,6
1970,#696969,723
1970,#6B8E23,15
1970,#708090,199
1970,#778899,110
1970,#800000,51
1970,#800080,13
1970,#808000,19
1970,#808080,275
1970,#87CEEB,24
1970,#87CEFA,5
1970,#8B0000,10
1970,#8B008B,1
1970,#8B4513,215
1970,#8FBC8F,22
1970,#9370DB,3
1970,#9932CC,1
1970,#9ACD32,1
