,Title,Year,Decade,House,Category,Flesch_Kincaid_score,flesch_score,dale_chall_score,spache_score,ari_score,coleman_liau_score,smog_score,linsear_write_score,Flesch_Kincaid_gl,flesch_gl,dale_chall_gl,spache_gl,ari_gl,coleman_liau_gl,smog_gl,linsear_write_gl,num_words,num_terms,rttr,cttr,mltd
19,Curious George 2 Follow That Monkey,2009,2000,Universal,Animation,0.35923729246895875,0.48045783114384166,0.12132609233155633,0.11844802089704998,0.4832116347366264,0.8031977930024743,0.4236643943448698,0.1614501329858255,2,6,10,4,0,3,7,2,0.23739495798319327,0.4331345826235094,0.7409397730914168,0.7409397730914171,0.8447112628754635
20,The Land Before Time VII-The Stone of Cold Fire,2000,2000,Universal,Animation,0.3149090725106942,0.6197287635644324,0.041836000588347244,0.028614375315764273,0.46260995311656655,0.799206661089703,0.3689290120260441,0.2076589384359414,2,5,8,4,0,2,6,3,0.37241653418124004,0.42248722316865417,0.5561848622100287,0.5561848622100289,0.6420906488372349
21,Balto II Wolf Quest,2002,2000,Universal,Animation,0.27349257291156687,0.6790438909664536,0.06626693519585114,0.06396177178577034,0.4128808244972487,0.7612248901602845,0.2635134941384656,0.18246443490140332,1,5,8,4,0,1,6,2,0.281910061321826,0.37436115843270873,0.5677886241450014,0.5677886241450016,0.5410022653421849
22,Van Helsing The London Assignment,2004,2000,Universal,Animation,0.3504087762177759,0.5278291467225045,0.1290665466747557,0.15882728500682053,0.48248648714406717,0.8113142927539307,0.4368139063106352,0.19116298216616634,2,5,10,4,0,3,7,2,0.09311832841244605,0.24531516183986374,0.6429796076444596,0.6429796076444603,0.8060470957109876
23,The Chronicles Of Riddick-Dark Fury,2004,2000,Universal,Animation,0.37689740391002857,0.4797391327508782,0.09728054472064784,0.1357644987095845,0.5285578430625515,0.8454551606795382,0.4658696513977556,0.1955355720579892,2,6,10,4,2,4,7,2,0.09510560981149216,0.26192504258943783,0.6846763864317629,0.6846763864317633,0.960896711969737
24,The Land Before Time VIII-The Big Freeze,2001,2000,Universal,Animation,0.277710305453401,0.6796336083866836,0.07485942947144741,0.08759782131332294,0.4618396178912876,0.7981406536792067,0.3552564070223442,0.1980007929511543,1,5,8,4,0,2,6,3,0.28594140358846243,0.358603066439523,0.5350694184927127,0.5350694184927127,0.6104218576877667
25,Curious George 3 Back to the Jungle,2015,2010,Universal,Animation,0.325268440846178,0.5842980278929537,0.088183005239035,0.12073770815445362,0.48214080283543637,0.8124389285820002,0.39844194587150195,0.1959021357391174,2,5,8,4,0,3,7,2,0.25227117874176697,0.3615843270868825,0.5813807347268625,0.5813807347268629,0.6529854304329474
26,The Land Before Time XIV-Journey Of The Brave,2016,2010,Universal,Animation,0.24999506310826294,0.6936592346815891,0.03681814064614031,0.03624575391718576,0.43629936323038326,0.7723640967893086,0.2614246520333149,0.1558800218943036,1,5,8,4,0,2,6,2,0.2810583692936634,0.3113287904599659,0.4557763748654069,0.45577637486540695,0.4746206541492598
27,The Little Engine That Could,2010,2010,Universal,Animation,0.23416384073766786,0.6978562604997878,0.06643248464379858,0.06749810071927154,0.40790296129121456,0.7405890758349096,0.25426900075146874,0.13239348358673028,1,5,8,4,0,1,6,2,0.3386895298660004,0.399488926746167,0.5504758421335766,0.5504758421335767,0.49697953648545445
28,Curious George Royal Monkey,2019,2010,Universal,Animation,0.32431715638155445,0.6336884979682949,0.3172362677460294,0.3792237614741454,0.3632758606030483,0.7250723164693118,0.40601236060111445,0.24010740414331647,2,5,13,6,0,0,7,3,0.3121167385873268,0.38245315161839866,0.5485537098033679,0.5485537098033682,0.2833589122509782
29,The Land Before Time IV-Journey Through the Mists,1996,1990,Universal,Animation,0.2460767778497886,0.6819300792265137,0.07492934294705311,0.07507511392673116,0.4197132466429805,0.7525524808584856,0.29110436230327486,0.14089210565393442,1,5,8,4,0,1,6,2,0.27617533499886443,0.33730834752981265,0.5076454747349802,0.5076454747349803,0.4120256535992529
30,The Land Before Time V-The Mysterious Island,1997,1990,Universal,Animation,0.25636329453585316,0.7058628334276484,0.12050930776657853,0.12157223162826414,0.39633403355896174,0.7483587832275144,0.2862965684078901,0.17971245009850362,1,5,10,4,0,1,6,2,0.23302293890529183,0.32112436115843274,0.5292474640733488,0.5292474640733489,0.47524901832679056
31,The Land Before Time VI-The Secret of Saurus Rock,1998,1990,Universal,Animation,0.2522589987989395,0.6706427265512032,0.068964520503081,0.06642204655555195,0.4170396828300286,0.7506736136827031,0.27694648265474275,0.13992765640666635,1,5,8,4,0,1,6,2,0.25369066545537133,0.3202725724020443,0.5017633100848106,0.5017633100848109,0.6801176747799792
32,The Land Before Time II-The Great Valley Adventure,1994,1990,Universal,Animation,0.2255988109359808,0.6956416092588049,0.12627161069930137,0.11277714719052157,0.38748358690671597,0.7131945492739766,0.24030361568334968,0.11487987250522957,1,5,10,4,0,0,5,1,0.21746536452418805,0.2921635434412266,0.49238906135747706,0.49238906135747723,0.592723714521006
33,The Land Before Time III-The Time of The Great Giving,1995,1990,Universal,Animation,0.2601158232209889,0.6687138109831925,0.06748834322210473,0.0766206230019203,0.4345621925147794,0.7689874938833597,0.2803462227276511,0.15172826074117476,1,5,8,4,0,2,6,2,0.27254144901203725,0.3351788756388416,0.5077935330798237,0.5077935330798238,0.44645943963171697
34,The Grinch,2018,2010,Illumination,Animation,0.2552053615404527,0.6730905730538783,0.07620341940397346,0.08483550294680686,0.43131219760739603,0.7647525625792736,0.2792600808291439,0.14732479518046548,1,5,8,4,0,1,6,2,0.3210311151487622,0.4629471890971039,0.6749820757104057,0.6749820757104061,0.6542094409133433
35,Despicable Me 2,2013,2010,Illumination,Animation,0.5574187900574901,0.33164696971842167,0.10631941639723286,0.19532248552293574,0.6525869680206253,0.9088124206677521,0.6632332520576896,0.3938641710893352,4,6,10,5,4,6,8,5,0.8476606858959801,0.8045144804088586,0.7308835373587927,0.7308835373587932,0.7384667545736674
36,Hop,2011,2010,Illumination,Animation,0.26083338196535916,0.6569147815944825,0.11023766363960208,0.09751883690466123,0.3968886040208269,0.7368655053658076,0.3122210445196525,0.14483013591874522,1,5,10,4,0,1,6,2,0.5158982511923689,0.6222316865417377,0.7235951237486362,0.7235951237486369,0.662896082146674
37,The Secret Life of Pets 2,2019,2010,Illumination,Animation,0.23238693906839805,0.7158921872336586,0.227461623645154,0.24052301394444742,0.32868967704232604,0.689286010407921,0.23553301035163787,0.14448294029093212,1,5,12,5,0,-1,5,2,0.3732682262094027,0.47870528109028965,0.6434946933213971,0.643494693321397,0.36905912323150625
38,Despicable Me 3,2017,2010,Illumination,Animation,0.2355316803770735,0.678437145185609,0.12522360042541703,0.10816346206303629,0.37453122682144213,0.704636367634091,0.2865920826110163,0.11950512521573971,1,5,10,4,0,0,6,1,0.33687258687258687,0.465076660988075,0.660139680954362,0.660139680954362,0.5694398357959578
39,The Secret Life of Pets,2016,2010,Illumination,Animation,0.2171537470514771,0.7262720379063548,0.09322315570428152,0.09191152946929293,0.3807033415643599,0.7187039076779812,0.22499062313536733,0.1274541383269941,1,5,10,4,0,0,5,2,0.3599250511015217,0.456984667802385,0.6225344498394697,0.6225344498394698,0.528241376016654
