,Title,Year,Decade,House,Category,Flesch_Kincaid_score,flesch_score,dale_chall_score,spache_score,ari_score,coleman_liau_score,smog_score,linsear_write_score,Flesch_Kincaid_gl,flesch_gl,dale_chall_gl,spache_gl,ari_gl,coleman_liau_gl,smog_gl,linsear_write_gl
349,D2 The Mighty Ducks,1994,1990,Disney,Animation,0.2738134280331718,0.6366218146067841,0.12535121650628656,0.12925082899925122,0.4398270779641478,0.7702194456321396,0.3253648934287505,0.14944602140708546,1,5,10,4,0,2,6,2
350,Homeward Bound 2 Lost In San Francisco,1996,1990,Disney,Animation,0.25475705367113066,0.6535673181921164,0.1987428666638268,0.19370366718672605,0.3857653739584991,0.7206334401489423,0.26152129475938,0.12740479560169138,1,5,12,5,0,0,6,2
351,First Kid,1996,1990,Disney,Animation,0.22910586154301166,0.754158999251823,0.1949824363002396,0.2261493800637483,0.3501933752487404,0.7139886510294059,0.2854800472814947,0.17755466784988302,1,9,12,5,0,0,6,2
352,Man of the House,1995,1990,Disney,Animation,0.3371256554471329,0.6064556455307208,0.15392733340874099,0.21822353329636057,0.44805407794985086,0.787841026919219,0.3895071676182916,0.23522068883577954,2,5,10,5,0,2,6,3
353,A Far Off Place,1993,1990,Disney,Animation,0.25649196937335217,0.6685423500019443,0.08227590577807686,0.0854869702111809,0.4209675926515559,0.756218295627445,0.282505408151161,0.14561408647059165,1,5,8,4,0,1,6,2
354,Newsies,1992,1990,Disney,Animation,0.312852438096833,0.6271812026898096,0.13230976208249146,0.18958884012664745,0.4738316587211932,0.8075713814629653,0.3426658988815705,0.20845377719453428,2,5,10,5,0,3,6,3
355,The Three Musketeers,1993,1990,Disney,Animation,0.3755833929083635,0.48771210180830615,0.09867054928325081,0.1159981506978992,0.5100477888335442,0.8326215901436694,0.49526564370525383,0.20419988152120797,2,6,10,4,0,3,7,3
356,Air Bud,1997,1990,Disney,Animation,0.24145758456591762,0.6920362819845929,0.11240856850296277,0.11642612886289627,0.40170580694355057,0.740019889005258,0.28770055044138165,0.14201197986924657,1,5,10,4,0,1,6,2
357,The Big Green,1995,1990,Disney,Animation,0.23032854699468422,0.709254342460957,0.07905428653201396,0.08853435932266085,0.40137714362462285,0.738078032127537,0.2743760824653544,0.13781901388467688,1,5,8,4,0,1,6,2
358,Heavyweights,1995,1990,Disney,Animation,0.2647235539645618,0.6525874673898016,0.12283363796815894,0.16245052005473481,0.4232046320714513,0.7575734730641206,0.30117794741000525,0.14652658165890572,1,5,10,4,0,1,6,2
