,Title,Year,Decade,House,Category,Flesch_Kincaid_score,flesch_score,dale_chall_score,spache_score,ari_score,coleman_liau_score,smog_score,linsear_write_score,Flesch_Kincaid_gl,flesch_gl,dale_chall_gl,spache_gl,ari_gl,coleman_liau_gl,smog_gl,linsear_write_gl,num_words,num_terms,rttr,cttr,mltd,Movie_len,Avg_WordLen_Movie,Avg_PhrLen_Movie,Avg_WordLen_Phrase,Num_Adjectives,Num_Adverbs,Short_Phrases%
0,Ice Age Dawn of the Dinosaurs,2009,2000,Blue,Animation,0.2609417407688148,0.6453342242150429,0.1058938953137406,0.13439461696611274,0.4218926116265781,0.7492681689785766,0.2793099248382569,0.13173636325703433,1,5,10,4,0,1,6,2,0.27833295480354303,0.4233390119250426,0.6602563088267567,0.6602563088267572,0.6595638422377609,0.22894736842105262,0.11064718162839238,0.339323467230444,0.1585185185185185,0.2777222777222777,0.29048295454545453,0.04983063184121385
1,Horton Hears a Who,2008,2000,Blue,Animation,0.30750720487472943,0.5766288905348804,0.18954066353603627,0.1862051063046536,0.42505057947464775,0.7603868488842568,0.36618898720774906,0.1555900610658977,2,5,12,5,0,1,6,2,0.4052350669997729,0.5902896081771721,0.7814789469275805,0.7814789469275807,0.5572915746955023,0.33092105263157895,0.1544885177453027,0.3340380549682875,0.21777777777777785,0.3986013986013986,0.3600852272727273,0.14135819013867795
2,Ice Age 2-The Meltdown,2006,2000,Blue,Animation,0.266583430000588,0.6455330214574504,0.0891332791978473,0.09691567248976483,0.4266458956463901,0.7584676128610616,0.2853955628387852,0.14194622785252398,1,5,8,4,0,1,6,2,0.2812287076992959,0.424190800681431,0.6579097536843558,0.6579097536843561,0.5809607077423047,0.21052631578947367,0.11273486430062629,0.3668076109936575,0.1777777777777778,0.24975024975024976,0.2677556818181818,0.048435374149659864
3,Ice Age,2002,2000,Blue,Animation,0.2426426843189704,0.6880927980134617,0.09590350213693333,0.11262329204762744,0.4060442930783349,0.7423720001420865,0.25656232386682243,0.1380072240560829,1,5,10,4,0,1,6,2,0.23762207585736994,0.3935264054514481,0.6636970069954442,0.6636970069954442,0.7130469415586734,0.18048245614035088,0.10229645093945716,0.36257928118393234,0.16148148148148145,0.22377622377622378,0.2237215909090909,0.03713555520784436
4,Epic,2013,2010,Blue,Animation,0.2619008876215912,0.6773837680658055,0.079020898700781,0.09575372528928304,0.4217540722895099,0.7633393130933255,0.2991901442835159,0.16418352631529234,1,5,8,4,0,1,6,2,0.4202816261639791,0.512350936967632,0.6502407785425093,0.6502407785425095,0.7019446111861632,0.3057017543859649,0.10020876826722336,0.3911205073995771,0.14222222222222214,0.35364635364635366,0.4509943181818182,0.15612030975912378
5,Ferdinand,2017,2010,Blue,Animation,0.22132348295218,0.7157067643235155,0.08987394939960469,0.1069347963409948,0.3856930480694849,0.7206339524585673,0.2627925164445521,0.12757759641509664,1,5,10,4,0,0,6,2,0.42754939813763343,0.4872231686541738,0.6069188911659604,0.6069188911659609,0.4830438170426578,0.3815789473684211,0.08559498956158662,0.328752642706131,0.1392592592592593,0.4025974025974026,0.3991477272727273,0.18218405759389364
6,Ice Age 3 Continental Drift,2012,2010,Blue,Animation,0.2607321443458974,0.6531538076699857,0.17715436514892113,0.2115704413751509,0.3768719660492205,0.7201826776482695,0.3026682480829476,0.14041650650058132,1,5,12,5,0,0,6,2,0.3221667045196457,0.4463373083475298,0.6457100369355795,0.6457100369355795,0.4361997783708659,0.2837719298245614,0.1148225469728601,0.30232558139534876,0.18074074074074076,0.3106893106893107,0.3132102272727273,0.0979906413432425
7,Ice Age Collision Course,2016,2010,Blue,Animation,0.31115875861558,0.5805079906335577,0.16947097785763632,0.1958709414273515,0.41690069001075497,0.7581807334736527,0.3573320043454131,0.16444115960374633,2,5,10,5,0,1,6,2,0.42062230297524417,0.616695059625213,0.8042763387278431,0.8042763387278435,0.5371668121125791,0.32171052631578945,0.13987473903966596,0.36786469344608874,0.1896296296296296,0.45454545454545453,0.37997159090909094,0.10524920736866783
8,Robots,2005,2010,Blue,Animation,0.2604981806200144,0.6724165832217084,0.08525566352399573,0.10212898967902273,0.4313010186594056,0.7681171953443509,0.29071586173442154,0.15658432770017078,1,5,8,4,0,1,6,2,0.3971723824665001,0.4982964224872232,0.6504815474887571,0.6504815474887573,0.6547737324100913,0.28771929824561404,0.10229645093945716,0.38689217758985195,0.16888888888888898,0.35264735264735264,0.3203125,0.06851889590833957
9,Rio 2,2014,2010,Blue,Animation,0.2980264199935539,0.5841867248089652,0.10767533169218237,0.11894874922064158,0.4287961242060873,0.7585882416710775,0.3435080403571725,0.14427105411894975,1,5,10,4,0,1,6,2,0.4725187372246196,0.5954003407155026,0.7233065919207502,0.7233065919207504,0.5441690146889615,0.40021929824561403,0.12734864300626303,0.3234672304439746,0.19259259259259254,0.48951048951048953,0.4353693181818182,0.03836047909154958
