frame_id,centroid_id,red,green,blue
0,0,0.221727962245045,0.13906848699370472,0.10734535648063509
0,1,0.28804237286805195,0.2949989608271051,0.24411994751767258
0,2,0.40108381191882714,0.3994105186846634,0.334575503222544
0,3,0.5043869777810391,0.4991837249975127,0.43777096265642507
0,4,0.4957261883354039,0.6573946708695612,0.6804473028195595
0,5,0.6036918502761546,0.6976675247867121,0.7255447451220632
0,6,0.7132620219403223,0.7430234245091866,0.7597559342460714
0,7,0.6707013824048144,0.5849028037140569,0.49692741294050086
0,8,0.5494804770020383,0.09899071129761398,0.07634491900346599
0,9,0.7465991272038783,0.6392682338506545,0.5608091313759102
1,0,0.07511277204278181,0.08235654816406103,0.07547518843289992
1,1,0.14382370087792587,0.1558652854387297,0.13355069997854305
1,2,0.2340935841489847,0.2717965231217769,0.19114014767503396
1,3,0.3462426472817018,0.321698252821181,0.27898704994410406
1,4,0.46848800852762673,0.4009330582760935,0.33609672401477875
1,5,0.5015417510059987,0.4779031887275848,0.6469283662374077
1,6,0.5622652766878278,0.4643192377980658,0.39382331800226245
1,7,0.6152838802639465,0.590633287669479,0.7226061733982397
1,8,0.8242673819688451,0.8082788671024402,0.8160771720377892
1,9,0.7826160050870649,0.6800842327157691,0.5504451180739228
2,0,0.04964982167152505,0.07554986619266582,0.03197597218463247
2,1,0.1590445554927692,0.18324239907353795,0.11045644562545998
2,2,0.26956615422085506,0.27374066683520915,0.20876385336741032
2,3,0.33927091320693914,0.3559356400846378,0.28702669149594906
2,4,0.5002746981145376,0.4925640844573314,0.4213272367770594
2,5,0.5811176282551382,0.6427715018743205,0.6556651269531281
2,6,0.41313615273072396,0.42490809836555826,0.35272257916721966
2,7,0.6107557480223286,0.5604624256214392,0.48247271616482806
2,8,0.7256322749417176,0.623008048662742,0.544358408769194
2,9,0.7649306786993997,0.7408480060235457,0.7321367838482618
3,0,0.1931061138954864,0.13966875738824963,0.11904461834549043
3,1,0.06413305903739683,0.06385209209505659,0.04362933946273309
3,2,0.2642567334122201,0.238678786655671,0.20267891812880445
3,3,0.3648893775578796,0.30277307433872125,0.29526137682491743
3,4,0.4631745963091148,0.389922289504035,0.4025305651672428
3,5,0.5396690994551372,0.5152548324793002,0.5007030768061168
3,6,0.6149732516988738,0.5852174787771682,0.5768199955556376
3,7,0.6553405451547459,0.6679631773363852,0.6856852612108895
3,8,0.3130872451425752,0.07427557859904076,0.05208860387691139
3,9,0.7016341816617314,0.7348277878923584,0.7686141174544832
4,0,0.07748407507948832,0.05953886044969282,0.048940059145408665
4,1,0.1641395591218446,0.22649381878917862,0.20694248240438373
4,2,0.3396414490813914,0.30777531275848624,0.2843444434234137
4,3,0.43312025312307056,0.41136729750490286,0.4118550319357916
4,4,0.5649531521621174,0.5356174114037926,0.5411808861205654
4,5,0.31073189580459537,0.5257171094864861,0.4482457315186503
4,6,0.6852397371580675,0.6365169069758564,0.6221634083765047
4,7,0.7041656960152144,0.6886561141514057,0.6927435449965916
4,8,0.6562141732477209,0.4929133761409159,0.39824587300415576
4,9,0.43993447943449054,0.06620069742768803,0.07438084846087227
5,0,0.12102666004298551,0.08860524239497067,0.07027497735315581
5,1,0.3264919603910515,0.4063439154043235,0.39781179565428165
5,2,0.5273571818756132,0.6472545964866676,0.6408121478063913
5,3,0.5280444819804394,0.5043774183436065,0.4252853168080235
5,4,0.6402096151399862,0.6976280610478268,0.7043616520304179
5,5,0.4103352107628216,0.28356703825743246,0.20426063552157586
5,6,0.7393249036909496,0.6272586018118703,0.5199024634443055
5,7,0.7489262558393422,0.744766077398435,0.7456918834747216
5,8,0.7224465163745639,0.4535827106840103,0.3483041221559953
5,9,0.5943076324670445,0.1106587434881865,0.06944562482726434
6,0,0.08263774512822926,0.06858660888179996,0.06291937381913434
6,1,0.30358531034383146,0.1441346132501296,0.11765657257566067
6,2,0.2898752936967607,0.2603275791334068,0.2475367828830538
6,3,0.4021954984427653,0.39920106572904746,0.41459698345523294
6,4,0.4297167992252405,0.3203281923997991,0.2563995874882114
6,5,0.5383920972945692,0.4984067113427142,0.5005901613302617
6,6,0.516247542046149,0.4143235659323962,0.36927941622196947
6,7,0.6050886453972918,0.5907924690553857,0.5863920493713544
6,8,0.7257556846787505,0.6545501095085468,0.6482596072843316
6,9,0.8192953053911319,0.8056443008414557,0.8027695575149468
